Name,Address,Latitude,Longitude,Place ID
Wegmans,"1810 Fordham Blvd, Chapel Hill",35.945276,-79.009568,ChIJbeq72mrnrIkRKdWd8jWFNYQ
Carolina Blue Mini Mart,"117 Old Durham Rd, Chapel Hill",35.944031,-79.01168729999999,ChIJY5py7_DnrIkRYckHqG_SRLE
Key Food Mart,"325 W Rosemary St, Chapel Hill",35.9121383,-79.060524,ChIJm2Y-VODCrIkRs7ZW9neoV9s
bp,"4525 Durham-Chapel Hill Blvd, Durham",35.9613063,-78.976215,ChIJuz0Bbq3nrIkR1Vutt7pqirQ
Harris Teeter,"2110 S Estes Dr Ste OP-4, Chapel Hill",35.9296276,-79.0264639,ChIJbSe2MqzCrIkRTSQugGkipwo
Trader Joe's,"1800 E Franklin St, Chapel Hill",35.9367243,-79.02435659999999,ChIJpXnRDVTdrIkRIsD45T_bFg0
The Fresh Market,"1200A Raleigh Rd, Chapel Hill",35.9079047,-79.0260058,ChIJ1SBOKpnCrIkRHa_lMg7K_ts
Harris Teeter,"310 N Greensboro St, Carrboro",35.9123282,-79.0708171,ChIJnW_oJBnDrIkRVsDgcyZnsSg
Harris Teeter,"116 W Barbee Chapel Rd, Chapel Hill",35.9064733,-79.0108534,ChIJrVgQBiPorIkRpE8zfmjrUdY
Whole Foods Market,"81 S Elliott Rd, Chapel Hill",35.9344265,-79.0278974,ChIJM64NHlPdrIkRDZ7xx19HdmA
Harris Teeter,"1800 M.L.K. Jr Blvd, Chapel Hill",35.9682062,-79.0586196,ChIJIZwfg-fCrIkR-4EVWsl7gbs
Weaver Street Market,"716 Market St, Chapel Hill",35.8800707,-79.0659991,ChIJ6dUL57LDrIkR7V79J5wd0dY
Walmart Supercenter,"12500 US Hwy 15 501 N, Chapel Hill",35.8587713,-79.08162589999999,ChIJtxWFDNzDrIkROthFp-W1YD4
Food Lion,"602 Jones Ferry Rd A, Carrboro",35.9071153,-79.08894839999999,ChIJ4zpPpXLDrIkRpBeZFFRA-Xk
