stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8507534,3270,"Estes Park Apartments","",35.921817,-79.071184,,,0,,,0,,
8507920,3356,"West Barbee Chapel Road at Meadowmont Village Circle","",35.906056,-79.01025,,,0,,,0,,
8508178,3024,"Friday Center South Park and Ride Lot","",35.896321,-79.012302,,,0,,,0,,
8508184,3223,"South Columbia Street at Health Sciences Library","",35.905524,-79.053281,,,0,,,0,,
8509024,3237,"East Drive at Jackson Circle","",35.901957,-79.050714,,,0,,,0,,
8509025,3737,"Old Chapel Hill Road at Huse Street","",35.945704,-78.996651,,,0,,,0,,
8514177,1876,"Cornelius St (US 70) at Rainey Rd","",36.087242,-79.108345,,,0,,,0,,
8514178,3239,"Manning Dr at UNC Hospitals","",35.903566,-79.051805,,,0,,,0,,
8515463,3138,"Jones Ferry Park and Ride","",35.901507,-79.090337,,,0,,,0,,
8515464,3226,"Pittsboro St at Credit Union","",35.90689,-79.05487,,,0,,,0,,
8516241,3428,"East Franklin Street at Varsity Theatre","",35.913587,-79.05493,,,0,,,0,,
8517049,3698,"Morris Grove Elementary","",35.966284,-79.101639,,,0,,,0,,
8517050,3147,"Smith Level Road at BPW Club Road Northbound","",35.895827,-79.076037,,,0,,,0,,
8518481,3149,"Eubanks Park-and-Ride Lot","",35.970835,-79.070605,,,0,,,0,,
8518482,3174,"Southern Village Park-and-Ride Lot","",35.878775,-79.066058,,,0,,,0,,
8520686,3307,"Booker Creek Road at Apartments","",35.947723,-79.026441,,,0,,,0,,
8523948,3172,"Rock Haven Road at Rock Creek Road West","",35.891964,-79.083095,,,0,,,0,,
8523949,3489,"Jones Ferry Road at Davie Road","",35.90676,-79.082992,,,0,,,0,,
8524163,3422,"West Franklin Street at Columbia Street","",35.912977,-79.056506,,,0,,,0,,
8526631,3423,"West Franklin Street at University Baptist Church","",35.912713,-79.05663,,,0,,,0,,
8539038,3096,"Weiner Street at Severin Street","",35.926847,-79.063424,,,0,,,0,,
8539039,3750,"Willow Drive at Conner Drive","",35.930041,-79.027728,,,0,,,0,,
8539946,3713,"Mason Farm Road at Baity Hill","",35.897817,-79.042457,,,0,,,0,,
8540863,3629,"Chatham County Park and Ride","",35.854069,-79.084641,,,0,,,0,,
8541367,3360,"South Road at Student Stores","",35.909768,-79.047841,,,0,,,0,,
8542654,3292,"Old Sterling Drive at Eastowne Road","",35.950497,-79.008222,,,0,,,0,,
8543554,3132,"Old Fayetteville Road at NC 54 (SECU)","",35.918612,-79.098634,,,0,,,0,,
8544606,3547,"McDougle Middle School","",35.927174,-79.098379,,,0,,,0,,
8544607,3000,"Fountain Ridge Road at Overland Drive","",35.936758,-79.008201,,,0,,,0,,
8547136,3588,"Friday Center Park and Ride","",35.901417,-79.012289,,,0,,,0,,
8547244,3359,"South Road at Fetzer Gym","",35.909663,-79.047501,,,0,,,0,,
8547647,3058,"RR Lot","",35.931064,-79.064532,,,0,,,0,,
8548357,3232,"Manning Lot at Family Medicine Building","",35.899269,-79.038231,,,0,,,0,,
8549152,3390,"Hamilton Road at Maxwell Road 1 Northbound","",35.909356,-79.023639,,,0,,,0,,
8549461,3150,"Westminster Drive at Traffic Circle","",35.960325,-79.053051,,,0,,,0,,
8550867,3418,"East Chapel Hill High School","",35.960653,-79.030797,,,0,,,0,,
8551212,3427,"East Franklin Street at Coffee Shop","",35.91368,-79.054139,,,0,,,0,,
8552179,1898,"Revere Rd at Nash St","",36.08629,-79.11193,,,0,,,0,,
8552180,1758,"Churton St at King St (Police Station)","",36.07636,-79.09946,,,0,,,0,,
8552181,1760,"NC 86 at Hampton Point Blvd (SB)","",36.05545,-79.08,,,0,,,0,,
8552182,1845,"Durham Tech OCC Park and Ride","",36.040734,-79.091947,,,0,,,0,,
8552183,1980,"Waterstone Drive at UNC Health Care - Hillsborough Campus","",36.038678,-79.090794,,,0,,,0,,
8552184,1761,"NC 86 at Storey Ln (Southbound)","",36.027799,-79.080144,,,0,,,0,,
8552185,1763,"NC 86 at Millhouse Rd (Southbound)","",35.99204,-79.071487,,,0,,,0,,
8552201,3606,"Martin Luther King Junior Boulevard at Perkins Drive Southbound","",35.966511,-79.059618,,,0,,,0,,
8552202,3444,"Martin Luther King Junior Boulevard at Airport Drive","",35.932621,-79.055726,,,0,,,0,,
8552203,3421,"North Columbia Street at West Franklin Street","",35.913294,-79.056022,,,0,,,0,,
8552204,3179,"South Columbia Street at Frat Court","",35.911689,-79.055045,,,0,,,0,,
8552205,3211,"Pittsboro Street at Newman Center","",35.908924,-79.054815,,,0,,,0,,
8552206,3221,"Mason Farm Road at Ambulatory Care Center Eastbound","",35.902121,-79.054325,,,0,,,0,,
8552207,3436,"Mason Farm Road at East Drive","",35.901405,-79.051472,,,0,,,0,,
8552208,3437,"South Columbia Street at UNC ROTC Naval Armory","",35.909293,-79.053225,,,0,,,0,,
8552209,3178,"South Columbia Street at Abernathy Hall","",35.911453,-79.054669,,,0,,,0,,
8552210,3383,"North Columbia Street at Rosemary Street","",35.913761,-79.056005,,,0,,,0,,
8552211,3053,"Martin Luther King Junior Boulevard at YMCA","",35.933629,-79.055672,,,0,,,0,,
8552212,3402,"Martin Luther King Junior Boulevard at Perkins Drive Northbound","",35.966467,-79.059147,,,0,,,0,,
8552213,1764,"NC 86 at Mt. Sinai Rd","",35.992116,-79.071281,,,0,,,0,,
8552214,1766,"NC 86 at Storey Ln (Northbound)","",36.027823,-79.080002,,,0,,,0,,
8552215,1765,"NC 86 at Hampton Point Blvd (NB)","",36.055921,-79.080078,,,0,,,0,,
8552216,1762,"Churton St at Margaret Ln (Orange County Courthouse)","",36.073886,-79.099276,,,0,,,0,,
8552217,1757,"Churton St at North Hills Shopping Center","",36.084499,-79.099777,,,0,,,0,,
8552218,3455,"Severin Street at 223","",35.92756,-79.059943,,,0,,,0,,
8552219,3098,"Severin Street at Bradley Road","",35.92807,-79.05825,,,0,,,0,,
8552220,3446,"Bradley Road at Williams Circle","",35.926086,-79.058264,,,0,,,0,,
8552221,3047,"Pritchard Avenue at Longview Street","",35.919403,-79.060811,,,0,,,0,,
8552222,3049,"North Columbia Street at Isley Street Eastbound","",35.918693,-79.059262,,,0,,,0,,
8552223,3619,"Caldwell Street at Housing Authority","",35.916917,-79.06291,,,0,,,0,,
8552224,3564,"Mitchell Lane at Caldwell Street","",35.915813,-79.06412,,,0,,,0,,
8552225,3566,"Mitchell Lane at Lindsay Street","",35.913549,-79.062838,,,0,,,0,,
8552226,3582,"Mitchell Lane at Rosemary Street","",35.912223,-79.062524,,,0,,,0,,
8552227,3567,"West Rosemary Street at Mini Mart Eastbound","",35.912347,-79.060609,,,0,,,0,,
8552228,3568,"West Rosemary Street at Pritchard Avenue","",35.913546,-79.057495,,,0,,,0,,
8552229,3214,"South Road at Coker Hall","",35.908608,-79.051503,,,0,,,0,,
8552230,3397,"South Road at Woollen Gym","",35.910131,-79.045229,,,0,,,0,,
8552231,3430,"South Road at Country Club Road Eastbound","",35.910581,-79.042622,,,0,,,0,,
8552232,3105,"Raleigh Road at Greenwood Road","",35.909711,-79.032289,,,0,,,0,,
8552233,3386,"Raleigh Road at UNC Administration","",35.909311,-79.030265,,,0,,,0,,
8552234,3392,"Hamilton Road at Berkley Road","",35.910966,-79.023275,,,0,,,0,,
8552235,3393,"Hamilton Road at Maxwell Road 2","",35.913208,-79.023433,,,0,,,0,,
8552236,3362,"Brandon Road at Hamilton Road","",35.915191,-79.023391,,,0,,,0,,
8552237,3364,"Brandon Road at Flemington Road Northbound","",35.91520055433878,-79.02457853107452,,,0,,,0,,
8552238,3597,"Willow Drive at Estes Drive","",35.927757,-79.030258,,,0,,,0,,
8552239,3375,"Estes Drive at Camelot Apartments","",35.927288,-79.029824,,,0,,,0,,
8552240,3373,"Estes Drive at US 15-501 Bypass","",35.925166,-79.025921,,,0,,,0,,
8552241,3363,"Brandon Road at Flemington Road Southbound","",35.91509250185022,-79.02460713722608,,,0,,,0,,
8552242,3361,"Brandon Road at Hamilton Road","",35.915049,-79.02342,,,0,,,0,,
